/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 35, Incl: 60
Dalpha: -6.321733540760546
Errors (1): 13.857023699359331
Errors (100): 0.10647853392925569
Errors (1000): 0.0072556587335152285
Errors (5000): 0.0002140731078987611
Errors (10000): 2.75833784693206e-5
Errors (15000): 9.702409937340083e-6
Errors (20000): 5.714275664766735e-6
Errors (25000): 3.7291658587659565e-6
Errors (30000): 2.6247654327663846e-6
Errors (35000): 1.918862210484153e-6
Errors (40000): 1.4237564392457176e-6
Errors (45000): 1.0637859260662152e-6
Errors (50000): 7.998388185420508e-7
Errors (55000): 6.051365014910988e-7
Errors (60000): 4.6068352343821915e-7
Errors (65000): 3.5286559424711616e-7
Errors (70000): 2.718797649367105e-7
Errors (75000): 2.1065239836556578e-7
Errors (80000): 1.640649835127853e-7
Errors (85000): 1.2839423658313654e-7
Errors (90000): 1.0091750842873047e-7
Errors (90192): 9.999675321231878e-8

WOB: 35000.0, Incl: 60.0
Force on bit: -15724.52442
New dalpha: -0.5
Errors (1): 14.084247983238102
Errors (100): 0.1063337028316272
Errors (1000): 0.007242142833565596
Errors (5000): 0.00022592464267760556
Errors (10000): 2.9984248077164835e-5
Errors (15000): 1.1846915031189909e-5
Errors (20000): 6.40199102341667e-6
Errors (25000): 3.950232551973329e-6
Errors (30000): 2.7101060347602525e-6
Errors (35000): 1.9621536488431985e-6
Errors (40000): 1.4522861735711011e-6
Errors (45000): 1.0858124838576663e-6
Errors (50000): 8.179609728257362e-7
Errors (55000): 6.203456899097074e-7
Errors (60000): 4.7350929859728333e-7
Errors (65000): 3.6368395646245727e-7
Errors (70000): 2.810035325021674e-7
Errors (75000): 2.1834591197403687e-7
Errors (80000): 1.7055121030357706e-7
Errors (85000): 1.338630280879609e-7
Errors (90000): 1.0552947259981586e-7
Errors (91144): 9.99977157879412e-8

WOB: 35000.0, Incl: 60.0
Force on bit: -14517.45866
New dalpha: -6.513532626424598
Errors (1): 17.158904794482638
Errors (100): 0.11138565317717837
Errors (1000): 0.008508827058514919
Errors (5000): 0.0007696995439649617
Errors (10000): 0.0003941861997443042
Errors (15000): 0.00020816063575665802
Errors (20000): 0.00011639274905738272
Errors (25000): 6.740740675731643e-5
Errors (30000): 3.979729885451163e-5
Errors (35000): 2.382377698098312e-5
Errors (40000): 1.4454043497573167e-5
Errors (45000): 8.908612741047847e-6
Errors (50000): 5.598284661298244e-6
Errors (55000): 3.601416654373939e-6
Errors (60000): 2.380595707476483e-6
Errors (65000): 1.6213263134324195e-6
Errors (70000): 1.139030404441294e-6
Errors (75000): 8.248820630252793e-7
Errors (80000): 6.143534841636192e-7
Errors (85000): 4.6890262644745163e-7
Errors (90000): 3.652703876378623e-7
Errors (95000): 2.892368998689146e-7
Errors (100000): 2.3196560451634286e-7

WOB: 35000.0, Incl: 60.0
Force on bit: 124.50583
New dalpha: -6.462397420394258
Errors (1): 17.134975355929694
Errors (100): 0.11137708330109057
Errors (1000): 0.00848482303297741
Errors (5000): 0.0007542927790995987
Errors (10000): 0.0003856643593607399
Errors (15000): 0.00020504771069731895
Errors (20000): 0.00011511920031312543
Errors (25000): 6.676886485800473e-5
Errors (30000): 3.943992684086636e-5
Errors (35000): 2.3615928741934182e-5
Errors (40000): 1.433012069207354e-5
Errors (45000): 8.832798048930265e-6
Errors (50000): 5.550359936008838e-6
Errors (55000): 3.569839648604256e-6
Errors (60000): 2.3587399136153726e-6
Errors (65000): 1.6053883415385917e-6
Errors (70000): 1.126818253069067e-6
Errors (75000): 8.151167945327368e-7
Errors (80000): 6.062860013502183e-7
Errors (85000): 4.6208556297380585e-7
Errors (90000): 3.59422810319259e-7
Errors (95000): 2.841782685370411e-7
Errors (100000): 2.2756278084373106e-7

WOB: 35000.0, Incl: 60.0
Force on bit: -2.32916
New dalpha: -6.463336452095822
Errors (1): 17.135435028646995
Errors (100): 0.11137727371371389
Errors (1000): 0.00848526479768193
Errors (5000): 0.0007545781841069725
Errors (10000): 0.0003858263153612196
Errors (15000): 0.00020510598801395363
Errors (20000): 0.0001151428354886414
Errors (25000): 6.678059581602744e-5
Errors (30000): 3.9446474628019106e-5
Errors (35000): 2.361973359053691e-5
Errors (40000): 1.4332389527543956e-5
Errors (45000): 8.834185300355367e-6
Errors (50000): 5.551235164894563e-6
Errors (55000): 3.570416777955248e-6
Errors (60000): 2.359138450862617e-6
Errors (65000): 1.605679790863156e-6
Errors (70000): 1.1270402572583162e-6
Errors (75000): 8.152940827367001e-7
Errors (80000): 6.064347934085421e-7
Errors (85000): 4.622087314137559e-7
Errors (90000): 3.5952944283120765e-7
Errors (95000): 2.842693654589891e-7
Errors (100000): 2.2764512868546026e-7
