/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 40, Incl: 45
Dalpha: -5.8472204935384795
Errors (1): 13.859105462013662
Errors (100): 0.10799021990097947
Errors (1000): 0.008454488020601126
Errors (5000): 0.0003335404951486553
Errors (10000): 0.00011117173389866147
Errors (15000): 7.27213805803957e-5
Errors (20000): 4.51367403478414e-5
Errors (25000): 2.7966278208252422e-5
Errors (30000): 1.747099631027798e-5
Errors (35000): 1.1048503138824666e-5
Errors (40000): 7.083558042453254e-6
Errors (45000): 4.604211306792539e-6
Errors (50000): 3.0378926701553006e-6
Errors (55000): 2.0388835584097077e-6
Errors (60000): 1.3943704052299462e-6
Errors (65000): 9.729225155681756e-7
Errors (70000): 6.930367774233204e-7
Errors (75000): 5.039130290516226e-7
Errors (80000): 3.736889129867646e-7
Errors (85000): 2.822267137548642e-7
Errors (90000): 2.1668163078626888e-7
Errors (95000): 1.6877095288743637e-7
Errors (100000): 1.330857244248583e-7

WOB: 40000.0, Incl: 45.0
Force on bit: -14640.18337
New dalpha: -0.5
Errors (1): 14.087199380922895
Errors (100): 0.10788971582611431
Errors (1000): 0.008429424230803659
Errors (5000): 0.0003601965741145262
Errors (10000): 0.00014886741031530518
Errors (15000): 9.740725742226715e-5
Errors (20000): 6.02570652532159e-5
Errors (25000): 3.7151346870792354e-5
Errors (30000): 2.3054393985696078e-5
Errors (35000): 1.4448474437048914e-5
Errors (40000): 9.158449123674616e-6
Errors (45000): 5.874326716505535e-6
Errors (50000): 3.818971881502383e-6
Errors (55000): 2.522175941005189e-6
Errors (60000): 1.6958232109315684e-6
Errors (65000): 1.1629193460935e-6
Errors (70000): 8.143767492809392e-7
Errors (75000): 5.826826178971871e-7
Errors (80000): 4.258378102619139e-7
Errors (85000): 3.1754704407636945e-7
Errors (90000): 2.4121788190458214e-7
Errors (95000): 1.8628051678672769e-7
Errors (100000): 1.4592530774495913e-7

WOB: 40000.0, Incl: 45.0
Force on bit: -13431.41434
New dalpha: -6.055823323832174
Errors (1): 16.928702655929023
Errors (100): 0.11273735958350833
Errors (1000): 0.010156459817083017
Errors (5000): 0.0016749781300898598
Errors (10000): 0.0009720802829359797
Errors (15000): 0.000582357465282541
Errors (20000): 0.00036504637781216675
Errors (25000): 0.00022746652860387625
Errors (30000): 0.00014164365384868106
Errors (35000): 8.856101592201796e-5
Errors (40000): 5.567650165684387e-5
Errors (45000): 3.524320304944107e-5
Errors (50000): 2.2504391935883406e-5
Errors (55000): 1.45316009450361e-5
Errors (60000): 9.51778187849886e-6
Errors (65000): 6.345889251789283e-6
Errors (70000): 4.324052915153208e-6
Errors (75000): 3.022858174187226e-6
Errors (80000): 2.175171678078497e-6
Errors (85000): 1.6143943750581e-6
Errors (90000): 1.2363271116725026e-6
Errors (95000): 9.755832509078567e-7
Errors (100000): 7.909761377569522e-7

WOB: 40000.0, Incl: 45.0
Force on bit: 11.72453
New dalpha: -6.050977772665524
Errors (1): 16.928086166073737
Errors (100): 0.11273752770684435
Errors (1000): 0.01015214102529963
Errors (5000): 0.0016720638393236166
Errors (10000): 0.0009698695527218548
Errors (15000): 0.00058090918888701
Errors (20000): 0.00036331444132225424
Errors (25000): 0.0002263659464568961
Errors (30000): 0.00014093589062357187
Errors (35000): 8.810616020561214e-5
Errors (40000): 5.53840956772822e-5
Errors (45000): 3.5055111193818085e-5
Errors (50000): 2.238329436040928e-5
Errors (55000): 1.4453532187608037e-5
Errors (60000): 9.467353705808328e-6
Errors (65000): 6.313211973888818e-6
Errors (70000): 4.3027777380391965e-6
Errors (75000): 3.0089044562907464e-6
Errors (80000): 2.165922573250217e-6
Errors (85000): 1.6081632561176288e-6
Errors (90000): 1.232035686961392e-6
Errors (95000): 9.725431486138323e-7
Errors (100000): 7.887460017943322e-7
