/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 35, Incl: 50
Dalpha: -5.963696147469921
Errors (1): 13.858378089669372
Errors (100): 0.10745018659157753
Errors (1000): 0.008033400222411245
Errors (5000): 0.00028334113711299977
Errors (10000): 6.388740827542473e-5
Errors (15000): 3.1104375268334615e-5
Errors (20000): 1.489983018272606e-5
Errors (25000): 7.6271964091963215e-6
Errors (30000): 4.3323868576998714e-6
Errors (35000): 2.7371579236407344e-6
Errors (40000): 1.8781647128554785e-6
Errors (45000): 1.3571486326578135e-6
Errors (50000): 1.0130014852684384e-6
Errors (55000): 7.717488293266535e-7
Errors (60000): 5.958674724521693e-7
Errors (65000): 4.644069186779186e-7
Errors (70000): 3.645476339638824e-7
Errors (75000): 2.878437295604326e-7
Errors (80000): 2.2843211261011045e-7
Errors (85000): 1.821007531052334e-7
Errors (90000): 1.4575677272909443e-7
Errors (95000): 1.1709627234596838e-7
Errors (98653): 9.999916568957557e-8

WOB: 35000.0, Incl: 50.0
Force on bit: -15048.01644
New dalpha: -0.5
Errors (1): 14.086190890286728
Errors (100): 0.10735592142164702
Errors (1000): 0.008005542565434605
Errors (5000): 0.00030789446633149243
Errors (10000): 7.738139193618363e-5
Errors (15000): 4.5353995138944594e-5
Errors (20000): 2.7648705960408963e-5
Errors (25000): 1.7194371061351328e-5
Errors (30000): 1.0876188601766968e-5
Errors (35000): 6.999341129890538e-6
Errors (40000): 4.579755923646869e-6
Errors (45000): 3.0438165454204237e-6
Errors (50000): 2.057713037927614e-6
Errors (55000): 1.4168185721336042e-6
Errors (60000): 9.94374300673068e-7
Errors (65000): 7.114844923493631e-7
Errors (70000): 5.187521940275128e-7
Errors (75000): 3.8502365079779746e-7
Errors (80000): 2.9047923411313953e-7
Errors (85000): 2.2237902722017227e-7
Errors (90000): 1.7243639285359368e-7
Errors (95000): 1.351876190059524e-7
Errors (100000): 1.0697607416268196e-7

WOB: 35000.0, Incl: 50.0
Force on bit: -13828.0132
New dalpha: -6.167203473984216
Errors (1): 16.98485307720516
Errors (100): 0.11216788157195325
Errors (1000): 0.009708919625840006
Errors (5000): 0.001346595261716676
Errors (10000): 0.0007445488721846451
Errors (15000): 0.0004058344251176306
Errors (20000): 0.00023893079430676993
Errors (25000): 0.00013909829064588474
Errors (30000): 8.04500377985202e-5
Errors (35000): 4.6944429330723747e-5
Errors (40000): 2.7702969917094553e-5
Errors (45000): 1.6639723877323834e-5
Errors (50000): 1.0221394101651914e-5
Errors (55000): 6.451232947550639e-6
Errors (60000): 4.207763359615832e-6
Errors (65000): 2.8505216379162835e-6
Errors (70000): 2.0119436376728554e-6
Errors (75000): 1.4799613075748312e-6
Errors (80000): 1.1315103018198723e-6
Errors (85000): 8.947112074731987e-7
Errors (90000): 7.27246978806706e-7
Errors (95000): 6.039632335075326e-7
Errors (100000): 5.097225247504675e-7

WOB: 35000.0, Incl: 50.0
Force on bit: 42.27723
New dalpha: -6.1499295988670655
Errors (1): 16.97792417107789
Errors (100): 0.11214966990782083
Errors (1000): 0.00969780671398037
Errors (5000): 0.0013355882669169189
Errors (10000): 0.0007381458961667014
Errors (15000): 0.00040071283518904554
Errors (20000): 0.0002366118101205095
Errors (25000): 0.0001377629835167295
Errors (30000): 7.974371696162525e-5
Errors (35000): 4.657436914614871e-5
Errors (40000): 2.7472713850272192e-5
Errors (45000): 1.652889753563662e-5
Errors (50000): 1.0161239580443004e-5
Errors (55000): 6.417866716677716e-6
Errors (60000): 4.188522693283622e-6
Errors (65000): 2.838745247726496e-6
Errors (70000): 2.00412302435932e-6
Errors (75000): 1.474253136184935e-6
Errors (80000): 1.126947793605198e-6
Errors (85000): 8.907948841975793e-7
Errors (90000): 7.237177254781657e-7
Errors (95000): 6.006913970125607e-7
Errors (100000): 5.066485289458629e-7
