/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 35, Incl: 35
Dalpha: -5.329109410615015
Errors (1): 13.861069652348299
Errors (100): 0.1093767541644032
Errors (1000): 0.009514140460350531
Errors (5000): 0.0005823933737068415
Errors (10000): 0.00031349894291573247
Errors (15000): 0.0001984409360624296
Errors (20000): 0.00012017785885929234
Errors (25000): 7.089916124468377e-5
Errors (30000): 4.217227081287233e-5
Errors (35000): 2.5250595597669536e-5
Errors (40000): 1.52851457939223e-5
Errors (45000): 9.391255733110437e-6
Errors (50000): 5.8709240903901975e-6
Errors (55000): 3.746604499989186e-6
Errors (60000): 2.450156783998128e-6
Errors (65000): 1.64743480776414e-6
Errors (70000): 1.1413662339239349e-6
Errors (75000): 8.152890664751434e-7
Errors (80000): 5.997999716501232e-7
Errors (85000): 4.5333990271015493e-7
Errors (90000): 3.508097282755909e-7
Errors (95000): 2.7688334686147035e-7
Errors (100000): 2.2207095819655184e-7

WOB: 35000.0, Incl: 35.0
Force on bit: -13682.68711
New dalpha: -0.5
Errors (1): 14.090022435607073
Errors (100): 0.10935007846203042
Errors (1000): 0.009528279439177629
Errors (5000): 0.0006277987934894579
Errors (10000): 0.00034753182734016056
Errors (15000): 0.00021951898547164147
Errors (20000): 0.00013014298581196442
Errors (25000): 7.70738117882766e-5
Errors (30000): 4.5781010838887995e-5
Errors (35000): 2.75365117267655e-5
Errors (40000): 1.674131836700797e-5
Errors (45000): 1.0330625585772837e-5
Errors (50000): 6.482781652839867e-6
Errors (55000): 4.150421413617602e-6
Errors (60000): 2.7213577146953717e-6
Errors (65000): 1.8335684467618557e-6
Errors (70000): 1.2723943666303992e-6
Errors (75000): 9.101206071434583e-7
Errors (80000): 6.704169016544275e-7
Errors (85000): 5.073889590844347e-7
Errors (90000): 3.9322357516548506e-7
Errors (95000): 3.108916013858355e-7
Errors (100000): 2.498291608263177e-7

WOB: 35000.0, Incl: 35.0
Force on bit: -12451.71051
New dalpha: -5.557655242999745
Errors (1): 16.676217908193284
Errors (100): 0.11383363392913202
Errors (1000): 0.012234357199167366
Errors (5000): 0.0026852196567771474
Errors (10000): 0.001851735921175928
Errors (15000): 0.0013655105494507446
Errors (20000): 0.0011169186829035397
Errors (25000): 0.000920286517161158
Errors (30000): 0.000773475235253917
Errors (35000): 0.0006604837311571107
Errors (40000): 0.0005706239680848627
Errors (45000): 0.0004929353706833615
Errors (50000): 0.000423933272804494
Errors (55000): 0.00037028693375420286
Errors (60000): 0.00032399389711967815
Errors (65000): 0.0002840432395181819
Errors (70000): 0.00024933620559451376
Errors (75000): 0.00021905322938139943
Errors (80000): 0.00019255497376556547
Errors (85000): 0.0001693250379250974
Errors (90000): 0.00014893531351219735
Errors (95000): 0.00012985406716330337
Errors (100000): 0.0001138340838465458

WOB: 35000.0, Incl: 35.0
Force on bit: 11.26311
New dalpha: -5.553084509795868
Errors (1): 16.675544595934465
Errors (100): 0.11383093601398485
Errors (1000): 0.012229550437177222
Errors (5000): 0.0026812980420573827
Errors (10000): 0.0018477072012739637
Errors (15000): 0.0013594106736912928
Errors (20000): 0.0011126510290997745
Errors (25000): 0.000916574635197518
Errors (30000): 0.0007702158714269863
Errors (35000): 0.0006576112244620106
Errors (40000): 0.0005680877716669953
Errors (45000): 0.0004936350625461697
Errors (50000): 0.00042225316679574663
Errors (55000): 0.0003687420209882084
Errors (60000): 0.0003226317309116783
Errors (65000): 0.00028284369767388905
Errors (70000): 0.00024828065617374536
Errors (75000): 0.00021812477705628516
Errors (80000): 0.00019173852337329227
Errors (85000): 0.00016860718968711257
Errors (90000): 0.00014830422306744706
Errors (95000): 0.0001294324030315036
Errors (100000): 0.00011345829229685215
