/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 30, Incl: 55
Dalpha: -6.061474550120759
Errors (1): 13.857742905518403
Errors (100): 0.10697397934899884
Errors (1000): 0.007631253915487698
Errors (5000): 0.00023584876523200126
Errors (10000): 4.429974710777066e-5
Errors (15000): 2.1732770334931977e-5
Errors (20000): 1.0944107881066546e-5
Errors (25000): 5.936874974644854e-6
Errors (30000): 3.575048340321394e-6
Errors (35000): 2.357906208600789e-6
Errors (40000): 1.6530037803694424e-6
Errors (45000): 1.2017825260510854e-6
Errors (50000): 8.94397387514548e-7
Errors (55000): 6.760456554539342e-7
Errors (60000): 5.166384137018843e-7
Errors (65000): 3.981363361464823e-7
Errors (70000): 3.089187956439371e-7
Errors (75000): 2.411019652046769e-7
Errors (80000): 1.8914799103037943e-7
Errors (85000): 1.49077008689891e-7
Errors (90000): 1.179842516116512e-7
Errors (93585): 9.999861224764304e-8

WOB: 30000.0, Incl: 55.0
Force on bit: -15399.88368
New dalpha: -0.5
Errors (1): 14.085291485469256
Errors (100): 0.10689076122093516
Errors (1000): 0.007589275861296543
Errors (5000): 0.00025921846308391895
Errors (10000): 5.613686196744339e-5
Errors (15000): 2.7335416803671233e-5
Errors (20000): 1.3227258583655103e-5
Errors (25000): 6.878795805951212e-6
Errors (30000): 3.981451699044936e-6
Errors (35000): 2.5476310097211e-6
Errors (40000): 1.7525137206191336e-6
Errors (45000): 1.2617424500914662e-6
Errors (50000): 9.352887506111428e-7
Errors (55000): 7.064413814059967e-7
Errors (60000): 5.403872514630869e-7
Errors (65000): 4.1717671090523513e-7
Errors (70000): 3.243799157700076e-7
Errors (75000): 2.5373787806646734e-7
Errors (80000): 1.99513269816087e-7
Errors (85000): 1.5760192218972603e-7
Errors (90000): 1.2501132008393925e-7
Errors (94896): 9.999978955637187e-8

WOB: 30000.0, Incl: 55.0
Force on bit: -14169.36056
New dalpha: -6.25745401679246
Errors (1): 17.030158529021143
Errors (100): 0.11195635775702097
Errors (1000): 0.009296345988966326
Errors (5000): 0.001065985311791123
Errors (10000): 0.0005417711993417752
Errors (15000): 0.0002792840078999547
Errors (20000): 0.00015081541290739239
Errors (25000): 8.768736398973252e-5
Errors (30000): 5.1916632236370905e-5
Errors (35000): 3.0520487341532986e-5
Errors (40000): 1.8238442260651445e-5
Errors (45000): 1.1142017845551913e-5
Errors (50000): 6.987859508659239e-6
Errors (55000): 4.518452461455106e-6
Errors (60000): 3.0239995604098486e-6
Errors (65000): 2.1000052149379834e-6
Errors (70000): 1.5138507005658992e-6
Errors (75000): 1.1306295656071378e-6
Errors (80000): 8.714120837903392e-7
Errors (85000): 6.89593563694245e-7
Errors (90000): 5.573419243514973e-7
Errors (95000): 4.5781129893123744e-7
Errors (100000): 3.806311072032822e-7

WOB: 30000.0, Incl: 55.0
Force on bit: 69.20319
New dalpha: -6.229471265776554
Errors (1): 17.01780928976225
Errors (100): 0.11193784892683616
Errors (1000): 0.009277667198356095
Errors (5000): 0.0010524542057108444
Errors (10000): 0.0005337556416156665
Errors (15000): 0.00027599845378565213
Errors (20000): 0.0001449024799203419
Errors (25000): 8.626085307886097e-5
Errors (30000): 5.105855302601053e-5
Errors (35000): 3.011581802887367e-5
Errors (40000): 1.8050321732169916e-5
Errors (45000): 1.1052331143718492e-5
Errors (50000): 6.942911452340878e-6
Errors (55000): 4.494064298353844e-6
Errors (60000): 3.009222416027258e-6
Errors (65000): 2.0898468181841696e-6
Errors (70000): 1.5060133146782128e-6
Errors (75000): 1.124044027745751e-6
Errors (80000): 8.655848828954366e-7
Errors (85000): 6.84291945361758e-7
Errors (90000): 5.524569427382139e-7
Errors (95000): 4.5329246162038915e-7
Errors (100000): 3.764467514830164e-7
