/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 40, Incl: 40
Dalpha: -5.631515641460519
Errors (1): 13.860000752343662
Errors (100): 0.10864081000124043
Errors (1000): 0.008943126463023844
Errors (5000): 0.0004404054585044364
Errors (10000): 0.00020411354105858394
Errors (15000): 0.0001326220645940609
Errors (20000): 8.162382793904604e-5
Errors (25000): 5.001746799330024e-5
Errors (30000): 3.0784046340210236e-5
Errors (35000): 1.9099391803160416e-5
Errors (40000): 1.197574075575202e-5
Errors (45000): 7.599916761849674e-6
Errors (50000): 4.886903991583207e-6
Errors (55000): 3.1919750793337115e-6
Errors (60000): 2.1232325780207477e-6
Errors (65000): 1.4416089378706933e-6
Errors (70000): 1.0008578606186185e-6
Errors (75000): 7.111960762551079e-7
Errors (80000): 5.172548796243916e-7
Errors (85000): 3.8469434616601383e-7
Errors (90000): 2.920651936394633e-7
Errors (95000): 2.2585192789869712e-7
Errors (100000): 1.7744677587619462e-7

WOB: 40000.0, Incl: 40.0
Force on bit: -14179.20434
New dalpha: -0.5
Errors (1): 14.088479045966066
Errors (100): 0.10856443770378568
Errors (1000): 0.008930895911505284
Errors (5000): 0.0004912329409319813
Errors (10000): 0.0002413278851303107
Errors (15000): 0.00015593750733378274
Errors (20000): 9.577715593643731e-5
Errors (25000): 5.858683342272401e-5
Errors (30000): 3.5982279768341586e-5
Errors (35000): 2.2263408017226054e-5
Errors (40000): 1.3909009680290928e-5
Errors (45000): 8.787037340287936e-6
Errors (50000): 5.621288060395301e-6
Errors (55000): 3.65086564245213e-6
Errors (60000): 2.413746952218957e-6
Errors (65000): 1.6285973201655873e-6
Errors (70000): 1.1236795327839838e-6
Errors (75000): 7.938229891643763e-7
Errors (80000): 5.743574905126733e-7
Errors (85000): 4.2530943645883103e-7
Errors (90000): 3.218075006940863e-7
Errors (95000): 2.482496422547168e-7
Errors (100000): 1.9474892874751854e-7

WOB: 40000.0, Incl: 40.0
Force on bit: -12967.46652
New dalpha: -5.85077238077788
Errors (1): 16.825000420099286
Errors (100): 0.1129321600686582
Errors (1000): 0.011015351277586596
Errors (5000): 0.002107230867079458
Errors (10000): 0.0013137934615814154
Errors (15000): 0.000886370591269888
Errors (20000): 0.0005940062206313613
Errors (25000): 0.000419350607971652
Errors (30000): 0.0002865060518173269
Errors (35000): 0.00020929815056876382
Errors (40000): 0.00015737465056807126
Errors (45000): 0.0001198090626054897
Errors (50000): 9.223001086088144e-5
Errors (55000): 7.164949909544155e-5
Errors (60000): 5.6073358920997785e-5
Errors (65000): 4.41425936063737e-5
Errors (70000): 3.4915267804427296e-5
Errors (75000): 2.7723557211227942e-5
Errors (80000): 2.128592405839738e-5
Errors (85000): 1.655064145051649e-5
Errors (90000): 1.2906080212012887e-5
Errors (95000): 1.0091959834735967e-5
Errors (100000): 7.91410601359346e-6

WOB: 40000.0, Incl: 40.0
Force on bit: 8.61363
New dalpha: -5.8472204935384795
Errors (1): 16.824972359690623
Errors (100): 0.11292719048133175
Errors (1000): 0.011012981076893295
Errors (5000): 0.0021044991559964676
Errors (10000): 0.00131154712330807
Errors (15000): 0.0008851442978139088
Errors (20000): 0.000591577222895688
Errors (25000): 0.0004177845447079607
Errors (30000): 0.00028569203297930986
Errors (35000): 0.00020782392220898978
Errors (40000): 0.00015625226223635444
Errors (45000): 0.00011891916740072633
Errors (50000): 9.152220397446901e-5
Errors (55000): 7.108620365626171e-5
Errors (60000): 5.562482942751307e-5
Errors (65000): 4.3785383819517485e-5
Errors (70000): 3.46307055862226e-5
Errors (75000): 2.7496824649821593e-5
Errors (80000): 2.1902828352023423e-5
Errors (85000): 1.6748588264759976e-5
Errors (90000): 1.305906186145374e-5
Errors (95000): 1.021075306856292e-5
Errors (100000): 8.00629011087579e-6
