/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 40, Incl: 50
Dalpha: -6.050977772665524
Errors (1): 13.858289568925468
Errors (100): 0.10742124304648479
Errors (1000): 0.008004812995801185
Errors (5000): 0.00027945693086083826
Errors (10000): 5.726325252631543e-5
Errors (15000): 2.8005837528421582e-5
Errors (20000): 1.3770481211829597e-5
Errors (25000): 7.22503788117874e-6
Errors (30000): 4.1948142395998905e-6
Errors (35000): 2.69414321097776e-6
Errors (40000): 1.8683146934818224e-6
Errors (45000): 1.3584716054986477e-6
Errors (50000): 1.0175667968267275e-6
Errors (55000): 7.768540690472783e-7
Errors (60000): 6.006631553530648e-7
Errors (65000): 4.6868192209731744e-7
Errors (70000): 3.682983528572903e-7
Errors (75000): 2.9112480874777757e-7
Errors (80000): 2.3130686452151988e-7
Errors (85000): 1.846264512059198e-7
Errors (90000): 1.4798180507990045e-7
Errors (95000): 1.1906053384908476e-7
Errors (99071): 9.999647853359769e-8

WOB: 40000.0, Incl: 50.0
Force on bit: -15056.0698
New dalpha: -0.5
Errors (1): 14.086059891268704
Errors (100): 0.10729229420298131
Errors (1000): 0.007961852613015918
Errors (5000): 0.0003061750249018675
Errors (10000): 7.261335235699955e-5
Errors (15000): 3.532743030784683e-5
Errors (20000): 1.67912865691003e-5
Errors (25000): 8.477930322160856e-6
Errors (30000): 4.731724710914253e-6
Errors (35000): 2.938160771910288e-6
Errors (40000): 1.990008955552356e-6
Errors (45000): 1.42759191753427e-6
Errors (50000): 1.0626429355214862e-6
Errors (55000): 8.097017652189165e-7
Errors (60000): 6.263660788520914e-7
Errors (65000): 4.895957768855935e-7
Errors (70000): 3.856527862056357e-7
Errors (75000): 3.0566360713962444e-7
Errors (80000): 2.435451414985781e-7
Errors (85000): 1.9495600686912612e-7
Errors (90000): 1.5671643511544842e-7
Errors (95000): 1.2645761200412722e-7
Errors (100000): 1.0239492202181427e-7

WOB: 40000.0, Incl: 50.0
Force on bit: -13857.55489
New dalpha: -6.281135793296055
Errors (1): 17.042547088611887
Errors (100): 0.11174041056019837
Errors (1000): 0.009545259021845116
Errors (5000): 0.0013296014364785524
Errors (10000): 0.0007293174599421992
Errors (15000): 0.00039682944750683434
Errors (20000): 0.0002176591877019681
Errors (25000): 0.00013013074335134676
Errors (30000): 7.638867612438046e-5
Errors (35000): 4.5999765404923264e-5
Errors (40000): 2.785837170623103e-5
Errors (45000): 1.7080202811148872e-5
Errors (50000): 1.0634109687463087e-5
Errors (55000): 6.7568139543698746e-6
Errors (60000): 4.411317266831487e-6
Errors (65000): 2.9735207238182375e-6
Errors (70000): 2.0770174724585324e-6
Errors (75000): 1.5058328841588e-6
Errors (80000): 1.1321300820821965e-6
Errors (85000): 8.798624958444602e-7
Errors (90000): 7.035277941158096e-7
Errors (95000): 5.756849336868146e-7
Errors (100000): 4.796254710851761e-7

WOB: 40000.0, Incl: 50.0
Force on bit: 95.86076
New dalpha: -6.241419061227765
Errors (1): 17.024262725010257
Errors (100): 0.11172103893099507
Errors (1000): 0.00952025490445398
Errors (5000): 0.0013096197768363849
Errors (10000): 0.00071196082211774
Errors (15000): 0.0003886254757479552
Errors (20000): 0.00021378381686694176
Errors (25000): 0.00012866372030074046
Errors (30000): 7.54526686343186e-5
Errors (35000): 4.451403359532008e-5
Errors (40000): 2.6663239624735136e-5
Errors (45000): 1.6259767764636028e-5
Errors (50000): 1.0123402719047007e-5
Errors (55000): 6.4583076254099645e-6
Errors (60000): 4.2392226439254064e-6
Errors (65000): 2.8744440933916178e-6
Errors (70000): 2.0192303156798444e-6
Errors (75000): 1.4710705511798526e-6
Errors (80000): 1.1101083722485034e-6
Errors (85000): 8.648895983457789e-7
Errors (90000): 6.924859051771135e-7
Errors (95000): 5.668950597898846e-7
Errors (100000): 4.7219135036788035e-7
