/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 35, Incl: 30
Dalpha: -6.374951153518778
Errors (1): 13.862177058874469
Errors (100): 0.11008320056310217
Errors (1000): 0.010065340747713853
Errors (5000): 0.0007039538563896832
Errors (10000): 0.00040746764242923444
Errors (15000): 0.00025153642494175655
Errors (20000): 0.0001507333938550686
Errors (25000): 8.949939849643536e-5
Errors (30000): 5.333194071082952e-5
Errors (35000): 3.197458773955889e-5
Errors (40000): 1.9347450303182576e-5
Errors (45000): 1.1866863461451273e-5
Errors (50000): 7.4134929508474136e-6
Errors (55000): 4.731732502881841e-6
Errors (60000): 3.0977530054301673e-6
Errors (65000): 2.0884792221647536e-6
Errors (70000): 1.454039377998408e-6
Errors (75000): 1.0464360228528265e-6
Errors (80000): 7.776693464966524e-7
Errors (85000): 5.951370126396982e-7
Errors (90000): 4.6717101985308294e-7
Errors (95000): 3.745250552306549e-7
Errors (100000): 3.053561702923304e-7

WOB: 35000.0, Incl: 30.0
Force on bit: -13161.26855
New dalpha: -0.5
Errors (1): 14.091547221562305
Errors (100): 0.11003934826641472
Errors (1000): 0.010064238222100813
Errors (5000): 0.0007497846159837662
Errors (10000): 0.00044202296586966905
Errors (15000): 0.0002722655121537895
Errors (20000): 0.00016251769322008161
Errors (25000): 9.644616588005048e-5
Errors (30000): 5.744229163898944e-5
Errors (35000): 3.442535644360634e-5
Errors (40000): 2.0826278991188055e-5
Errors (45000): 1.2774631014465025e-5
Errors (50000): 7.983796535138178e-6
Errors (55000): 5.101337600931756e-6
Errors (60000): 3.346734963707144e-6
Errors (65000): 2.2637460929937576e-6
Errors (70000): 1.583176144966976e-6
Errors (75000): 1.145771921973201e-6
Errors (80000): 8.569744693793842e-7
Errors (85000): 6.603541278371215e-7
Errors (90000): 5.2200255049809e-7
Errors (95000): 4.2135439952775914e-7
Errors (100000): 3.4578244031547305e-7

WOB: 35000.0, Incl: 30.0
Force on bit: -11927.84994
New dalpha: -5.3352805135638395
Errors (1): 16.562966209350126
Errors (100): 0.1145667749749601
Errors (1000): 0.013233471534802465
Errors (5000): 0.0032139852249492315
Errors (10000): 0.0024270511897354448
Errors (15000): 0.001974210538374333
Errors (20000): 0.0016151674826700149
Errors (25000): 0.0013424535232995614
Errors (30000): 0.0011270920323884774
Errors (35000): 0.0009679802691567836
Errors (40000): 0.0008671154971282946
Errors (45000): 0.0008210394597921419
Errors (50000): 0.0007660301615305998
Errors (55000): 0.0007143834413174551
Errors (60000): 0.0006715058558190792
Errors (65000): 0.0006459886608784156
Errors (70000): 0.0006152508916099078
Errors (75000): 0.0005891577172704298
Errors (80000): 0.0005625971720591632
Errors (85000): 0.0005369050898264028
Errors (90000): 0.0005121237220860187
Errors (95000): 0.0004882922560851253
Errors (100000): 0.0004654281938593402

WOB: 35000.0, Incl: 30.0
Force on bit: 15.24256
New dalpha: -5.329109410615015
Errors (1): 16.561384879841953
Errors (100): 0.11456179863520913
Errors (1000): 0.013228130905072017
Errors (5000): 0.0032060544171056845
Errors (10000): 0.0024195965591815825
Errors (15000): 0.001967895324554116
Errors (20000): 0.0016096782217850803
Errors (25000): 0.0013377153107838125
Errors (30000): 0.0011265861883958527
Errors (35000): 0.0009639961228406834
Errors (40000): 0.0008580913982060054
Errors (45000): 0.0008145122838274486
Errors (50000): 0.0007602271109218783
Errors (55000): 0.0007079410805179775
Errors (60000): 0.0006661536414012198
Errors (65000): 0.000639571384209599
Errors (70000): 0.0006094880254636748
Errors (75000): 0.0005829338300230815
Errors (80000): 0.0005567802034947357
Errors (85000): 0.0005314522956024684
Errors (90000): 0.0005070039923788708
Errors (95000): 0.0004834742506719367
Errors (100000): 0.00046088517251158435
