/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 40, Incl: 55
Dalpha: -6.241419061227765
Errors (1): 13.857567481109248
Errors (100): 0.10691395019153772
Errors (1000): 0.007511497785469874
Errors (5000): 0.00023494234812739621
Errors (10000): 3.0265392514115004e-5
Errors (15000): 1.261848580809566e-5
Errors (20000): 7.313893175116399e-6
Errors (25000): 4.525668675059772e-6
Errors (30000): 3.0355874572972644e-6
Errors (35000): 2.1570027846170023e-6
Errors (40000): 1.5836107397880103e-6
Errors (45000): 1.182632273901265e-6
Errors (50000): 8.937375375063438e-7
Errors (55000): 6.816443885414056e-7
Errors (60000): 5.238729045219736e-7
Errors (65000): 4.053322381741758e-7
Errors (70000): 3.155299914410942e-7
Errors (75000): 2.470020305070862e-7
Errors (80000): 1.943574980038063e-7
Errors (85000): 1.5366051507668775e-7
Errors (90000): 1.2201330275013604e-7
Errors (94385): 9.999658016865017e-8

WOB: 40000.0, Incl: 55.0
Force on bit: -15419.836
New dalpha: -0.5
Errors (1): 14.085031511310905
Errors (100): 0.10676151756863769
Errors (1000): 0.0074976908561646275
Errors (5000): 0.00024964556795941664
Errors (10000): 4.5125711604129164e-5
Errors (15000): 2.187579226315451e-5
Errors (20000): 1.1194335015595023e-5
Errors (25000): 6.132168624289992e-6
Errors (30000): 3.7101417880881446e-6
Errors (35000): 2.4493001185200653e-6
Errors (40000): 1.71752166009377e-6
Errors (45000): 1.250056930506301e-6
Errors (50000): 9.32267587033575e-7
Errors (55000): 7.0677761323627e-7
Errors (60000): 5.421281764835218e-7
Errors (65000): 4.195644299150669e-7
Errors (70000): 3.27083114169027e-7
Errors (75000): 2.5658237821501734e-7
Errors (80000): 2.023893973036547e-7
Errors (85000): 1.604329338040919e-7
Errors (90000): 1.2774180829971686e-7
Errors (95000): 1.0212111968364839e-7
Errors (95474): 9.999613042757806e-8

WOB: 40000.0, Incl: 55.0
Force on bit: -14224.53697
New dalpha: -6.4502001645563105
Errors (1): 17.127422536164932
Errors (100): 0.11138570122821276
Errors (1000): 0.008864857407056243
Errors (5000): 0.0010190089838399777
Errors (10000): 0.0005444022865874815
Errors (15000): 0.00028337301367197584
Errors (20000): 0.0001550909727205992
Errors (25000): 8.8232545993732e-5
Errors (30000): 5.150721220893118e-5
Errors (35000): 3.0792346099184826e-5
Errors (40000): 1.8698167348128285e-5
Errors (45000): 1.1540231054940688e-5
Errors (50000): 7.257101812046497e-6
Errors (55000): 4.667782564796524e-6
Errors (60000): 3.0835377700810143e-6
Errors (65000): 2.099578491614805e-6
Errors (70000): 1.4767896761465562e-6
Errors (75000): 1.0733408322742202e-6
Errors (80000): 8.046959533781531e-7
Errors (85000): 6.202178324120689e-7
Errors (90000): 4.893510556622947e-7
Errors (95000): 3.934674372921584e-7
Errors (100000): 3.210649561912976e-7

WOB: 40000.0, Incl: 55.0
Force on bit: 87.48692
New dalpha: -6.413827622854207
Errors (1): 17.110949254638925
Errors (100): 0.1113788062325601
Errors (1000): 0.008847446692023359
Errors (5000): 0.001003403315670479
Errors (10000): 0.0005355292623360052
Errors (15000): 0.0002801094807935488
Errors (20000): 0.00015371797466912735
Errors (25000): 8.757329620130038e-5
Errors (30000): 5.116343483642406e-5
Errors (35000): 3.0532988104234e-5
Errors (40000): 1.854319766764469e-5
Errors (45000): 1.1447512260434343e-5
Errors (50000): 7.2002890652715596e-6
Errors (55000): 4.6317918040060865e-6
Errors (60000): 3.0597526112243338e-6
Errors (65000): 2.0830368393959076e-6
Errors (70000): 1.4646261457224912e-6
Errors (75000): 1.0638962742157447e-6
Errors (80000): 7.970079518030907e-7
Errors (85000): 6.137248499122358e-7
Errors (90000): 4.837230401397033e-7
Errors (95000): 3.885075880281649e-7
Errors (100000): 3.166477617059761e-7

WOB: 40000.0, Incl: 55.0
Force on bit: -1.80684
New dalpha: -6.414563613401016
Errors (1): 17.111311112920873
Errors (100): 0.11137894699305004
Errors (1000): 0.00884778628133811
Errors (5000): 0.0010037213339625292
Errors (10000): 0.0005357124007172549
Errors (15000): 0.0002801765408506987
Errors (20000): 0.00015374604635237703
Errors (25000): 8.758655142328348e-5
Errors (30000): 5.1170302265640814e-5
Errors (35000): 3.054062783681912e-5
Errors (40000): 1.8546407373830858e-5
Errors (45000): 1.144944293219413e-5
Errors (50000): 7.201472437034145e-6
Errors (55000): 4.632538954708288e-6
Errors (60000): 3.0602452056750996e-6
Errors (65000): 2.083376722373539e-6
Errors (70000): 1.4648765119859461e-6
Errors (75000): 1.0640896491698874e-6
Errors (80000): 7.97165311530818e-7
Errors (85000): 6.1385715484187e-7
Errors (90000): 4.838383806985436e-7
Errors (95000): 3.886066888379016e-7
Errors (100000): 3.167369470029085e-7
