/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 30, Incl: 40
Dalpha: -5.477285964982022
Errors (1): 13.860189029673064
Errors (100): 0.10872119867416409
Errors (1000): 0.008978488412141113
Errors (5000): 0.00047656726695730897
Errors (10000): 0.00023870428058558313
Errors (15000): 0.00015064193896817494
Errors (20000): 9.074378151263028e-5
Errors (25000): 5.451191536737671e-5
Errors (30000): 3.2901896594714626e-5
Errors (35000): 2.0023998991525013e-5
Errors (40000): 1.2322840583974471e-5
Errors (45000): 7.681770724188224e-6
Errors (50000): 4.858643237636873e-6
Errors (55000): 3.127200558665322e-6
Errors (60000): 2.054331354195722e-6
Errors (65000): 1.380983592353144e-6
Errors (70000): 9.517462711014096e-7
Errors (75000): 6.730219563788328e-7
Errors (80000): 4.88158577467873e-7
Errors (85000): 3.6264638239969816e-7
Errors (90000): 2.752931280436144e-7
Errors (95000): 2.1295260043217955e-7
Errors (100000): 1.6736778575105375e-7

WOB: 30000.0, Incl: 40.0
Force on bit: -14168.85545
New dalpha: -0.5
Errors (1): 14.088756213967068
Errors (100): 0.10871415827884756
Errors (1000): 0.009005180649515995
Errors (5000): 0.0005190202758687269
Errors (10000): 0.00026903749499731166
Errors (15000): 0.0001693741159615601
Errors (20000): 0.00010192624367130157
Errors (25000): 6.117071639977864e-5
Errors (30000): 3.6879799589187e-5
Errors (35000): 2.2413499276870576e-5
Errors (40000): 1.376891273036616e-5
Errors (45000): 8.457547975777636e-6
Errors (50000): 5.268372698194809e-6
Errors (55000): 3.343234080917888e-6
Errors (60000): 2.1724276432787917e-6
Errors (65000): 1.4502309701954482e-6
Errors (70000): 9.965932145260988e-7
Errors (75000): 7.05369736120412e-7
Errors (80000): 5.136691612427461e-7
Errors (85000): 3.8396206782893406e-7
Errors (90000): 2.936439618832969e-7
Errors (95000): 2.2893734304171445e-7
Errors (100000): 1.81319706675826e-7

WOB: 30000.0, Incl: 40.0
Force on bit: -12923.29484
New dalpha: -5.6877422649067295
Errors (1): 16.74223250610315
Errors (100): 0.11373366189039068
Errors (1000): 0.011626501850455724
Errors (5000): 0.002314527810617016
Errors (10000): 0.0014972800381422293
Errors (15000): 0.0010091299851339923
Errors (20000): 0.0007217177977450344
Errors (25000): 0.0005294955029004198
Errors (30000): 0.0004460775597737921
Errors (35000): 0.00037438991837862904
Errors (40000): 0.00031861498980890503
Errors (45000): 0.0002741615281116594
Errors (50000): 0.0002377984238161293
Errors (55000): 0.00020740658665907891
Errors (60000): 0.0001815859105934977
Errors (65000): 0.0001593872640632655
Errors (70000): 0.00014014334682650004
Errors (75000): 0.0001233653973945187
Errors (80000): 0.00010868070106595516
Errors (85000): 9.57945748963607e-5
Errors (90000): 8.44669895675242e-5
Errors (95000): 7.449781695497755e-5
Errors (100000): 6.571730699585497e-5

WOB: 30000.0, Incl: 40.0
Force on bit: 9.38276
New dalpha: -5.683978516816893
Errors (1): 16.74201146445052
Errors (100): 0.11373179428812956
Errors (1000): 0.011622836092084272
Errors (5000): 0.0023111730476870532
Errors (10000): 0.0014941504818230067
Errors (15000): 0.0010075886418021351
Errors (20000): 0.0007194867036116845
Errors (25000): 0.0005273707243755977
Errors (30000): 0.00044297193858414716
Errors (35000): 0.00037172347419516785
Errors (40000): 0.0003162825255868658
Errors (45000): 0.0002721119094094411
Errors (50000): 0.00023599440753661118
Errors (55000): 0.0002058176429532621
Errors (60000): 0.00018018591170562226
Errors (65000): 0.00015815349587612197
Errors (70000): 0.00013905593273877276
Errors (75000): 0.00012240689823548985
Errors (80000): 0.00010783577853144896
Errors (85000): 9.504974141197403e-5
Errors (90000): 8.381036743755549e-5
Errors (95000): 7.391894317208032e-5
Errors (100000): 6.520696168869833e-5
