/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 40, Incl: 30
Dalpha: -6.463336452095822
Errors (1): 13.86208834341732
Errors (100): 0.11004081451580526
Errors (1000): 0.0100519802714874
Errors (5000): 0.000691349555859631
Errors (10000): 0.0003993914174136703
Errors (15000): 0.0002472499061086891
Errors (20000): 0.0001495585573277076
Errors (25000): 8.963113104592332e-5
Errors (30000): 5.389887335177697e-5
Errors (35000): 3.259876162516332e-5
Errors (40000): 1.988771348370138e-5
Errors (45000): 1.2288064909402153e-5
Errors (50000): 7.723455441165372e-6
Errors (55000): 4.952176423758756e-6
Errors (60000): 3.250978611511387e-6
Errors (65000): 2.193458702715284e-6
Errors (70000): 1.5254017811412248e-6
Errors (75000): 1.0948460766683115e-6
Errors (80000): 8.106264275704502e-7
Errors (85000): 6.177853760859153e-7
Errors (90000): 4.829770155614575e-7
Errors (95000): 3.857943673817544e-7
Errors (100000): 3.1360827214794637e-7

WOB: 40000.0, Incl: 30.0
Force on bit: -13158.72355
New dalpha: -0.5
Errors (1): 14.091395063027491
Errors (100): 0.10997030264125095
Errors (1000): 0.01005931326008354
Errors (5000): 0.0007401261091115303
Errors (10000): 0.0004313977951993524
Errors (15000): 0.00026885207629324964
Errors (20000): 0.0001626332617739889
Errors (25000): 9.741388157273106e-5
Errors (30000): 5.853951844852235e-5
Errors (35000): 3.5382037260703963e-5
Errors (40000): 2.1573388402498476e-5
Errors (45000): 1.3322917927582727e-5
Errors (50000): 8.370206624753084e-6
Errors (55000): 5.366217936167856e-6
Errors (60000): 3.524633278917437e-6
Errors (65000): 2.3813553174500974e-6
Errors (70000): 1.6599589585537166e-6
Errors (75000): 1.195396605785662e-6
Errors (80000): 8.887904223725957e-7
Errors (85000): 6.806320727751281e-7
Errors (90000): 5.348840894385483e-7
Errors (95000): 4.2954104754967907e-7
Errors (100000): 3.510172669364192e-7

WOB: 40000.0, Incl: 30.0
Force on bit: -11942.32217
New dalpha: -5.408873981218267
Errors (1): 16.600451628095993
Errors (100): 0.11413250026212227
Errors (1000): 0.0129898995967422
Errors (5000): 0.003147619748554131
Errors (10000): 0.002250950849470873
Errors (15000): 0.0018478642247554912
Errors (20000): 0.0015112550128496558
Errors (25000): 0.0012553668262007634
Errors (30000): 0.001071540827850606
Errors (35000): 0.0009202807734936798
Errors (40000): 0.0008024018567452488
Errors (45000): 0.0007018654828526052
Errors (50000): 0.000610074684229697
Errors (55000): 0.0005335058821497314
Errors (60000): 0.0004682943424382425
Errors (65000): 0.0004485150358050496
Errors (70000): 0.00041627862521012647
Errors (75000): 0.0003863875233199801
Errors (80000): 0.00035848318179992374
Errors (85000): 0.0003388002387708704
Errors (90000): 0.0003190203192903227
Errors (95000): 0.0002996596918031036
Errors (100000): 0.00028137468884349

WOB: 40000.0, Incl: 30.0
Force on bit: 16.88484
New dalpha: -5.4019432916095225
Errors (1): 16.598514380424337
Errors (100): 0.11412850641238058
Errors (1000): 0.01298437711072384
Errors (5000): 0.0031402465689497256
Errors (10000): 0.002242626600407102
Errors (15000): 0.0018407985360986842
Errors (20000): 0.0015050962217151732
Errors (25000): 0.0012500182048378397
Errors (30000): 0.001065515463353426
Errors (35000): 0.0009157709579217382
Errors (40000): 0.000798427326791623
Errors (45000): 0.0006984197711912921
Errors (50000): 0.0006072393869008815
Errors (55000): 0.0005310437515388363
Errors (60000): 0.0004660869503728749
Errors (65000): 0.00044214500896772903
Errors (70000): 0.00041143095870412077
Errors (75000): 0.0003819661985061199
Errors (80000): 0.00035442293973955295
Errors (85000): 0.00033334038538156455
Errors (90000): 0.00031452488504438804
Errors (95000): 0.00029552574160289106
Errors (100000): 0.00027752322588931843
